지역명,연도,월,평당분양가격,전용면적
충북,2016,1,6626.4,모든면적
충북,2016,1,6441.599999999999,60㎡
충북,2016,1,6669.299999999999,60㎡~85㎡
충북,2016,1,7510.799999999999,85㎡~102㎡
충북,2016,1,7461.299999999999,102㎡~
충남,2016,1,7491.0,모든면적
충남,2016,1,8187.299999999999,60㎡
충남,2016,1,7527.299999999999,60㎡~85㎡
충남,2016,1,8385.3,85㎡~102㎡
충남,2016,1,8065.2,102㎡~
전북,2016,1,6534.0,모든면적
전북,2016,1,6296.4,60㎡
전북,2016,1,6557.099999999999,60㎡~85㎡
전북,2016,1,7844.099999999999,85㎡~102㎡
전북,2016,1,7530.599999999999,102㎡~
전남,2016,1,6299.7,모든면적
전남,2016,1,6596.7,60㎡
전남,2016,1,6289.799999999999,60㎡~85㎡
전남,2016,1,7464.599999999999,85㎡~102㎡
전남,2016,1,7180.799999999999,102㎡~
경북,2016,1,7197.299999999999,모든면적
경북,2016,1,7187.4,60㎡
경북,2016,1,7210.5,60㎡~85㎡
경북,2016,1,8302.8,85㎡~102㎡
경북,2016,1,7741.799999999999,102㎡~
경남,2016,1,7679.099999999999,모든면적
경남,2016,1,7491.0,60㎡
경남,2016,1,7748.4,60㎡~85㎡
경남,2016,1,9652.5,85㎡~102㎡
경남,2016,1,9332.4,102㎡~
제주,2016,1,7484.4,모든면적
제주,2016,1,,60㎡
제주,2016,1,7458.0,60㎡~85㎡
제주,2016,1,8523.9,85㎡~102㎡
제주,2016,1,8494.199999999999,102㎡~
서울,2016,2,20166.3,모든면적
서울,2016,2,21245.399999999998,60㎡
서울,2016,2,19928.7,60㎡~85㎡
서울,2016,2,21492.899999999998,85㎡~102㎡
서울,2016,2,21311.399999999998,102㎡~
인천,2016,2,10533.599999999999,모든면적
인천,2016,2,10982.4,60㎡
인천,2016,2,10269.599999999999,60㎡~85㎡
인천,2016,2,11698.5,85㎡~102㎡
인천,2016,2,11246.4,102㎡~
경기,2016,2,10622.699999999999,모든면적
경기,2016,2,10870.199999999999,60㎡
경기,2016,2,10784.4,60㎡~85㎡
경기,2016,2,11157.3,85㎡~102㎡
경기,2016,2,12107.699999999999,102㎡~
부산,2016,2,10408.199999999999,모든면적
부산,2016,2,9896.699999999999,60㎡
부산,2016,2,10098.0,60㎡~85㎡
부산,2016,2,9758.1,85㎡~102㎡
부산,2016,2,12579.599999999999,102㎡~
대구,2016,2,10111.199999999999,모든면적
대구,2016,2,11025.3,60㎡
대구,2016,2,10160.699999999999,60㎡~85㎡
