모델명,제조사,유종,배기량,변속형식,복합연비,등급,CO2배출량
Peugeot 508SW 1.5 BlueHDi,푸조,경유,1499 ,자동8,14.6,2등급,129
Peugeot 508 1.5 BlueHDi,푸조,경유,1499 ,자동8,14.6,2등급,129
토요타 CAMRY Hybrid LE,토요타,휘발유,2494 ,무단변속,15.4,2등급,104
BMW 320d,BMW,경유,1995 ,자동8,14.3,2등급,132
C220 d,벤츠,경유,1950 ,자동9,14.4,2등급,131
Citroen C4 Cactus 1.5 BlueHDi,PSA,경유,1499 ,자동6,15.5,2등급,121
말리부 1.35 TURBO,한국지엠,휘발유,1341 ,무단변속,14.2,2등급,118
티볼리 디젤 MT 2WD Long EU6C,쌍용,경유,1597 ,수동6,15,2등급,126
티볼리 디젤 AT 2WD Short EU6C,쌍용,경유,1597 ,자동6,14.2,2등급,134
말리부 1.6 DIESEL,한국지엠,경유,1598 ,자동6,14.5,2등급,130
말리부 1.6 DIESEL,한국지엠,경유,1598 ,자동6,15.3,2등급,123
BMW Active Tourer,BMW,경유,1995 ,자동8,15.6,2등급,120
Arteon 2.0 TDI,폭스바겐,경유,1968 ,자동7,15,2등급,125
Peugeot 3008 1.5 BlueHDi,푸조,경유,1499 ,자동8,14,2등급,135
Peugeot 308 1.5 BlueHDi,푸조,경유,1499 ,자동8,15.1,2등급,125
Peugeot 2008 1.5 BlueHDi,푸조,경유,1499 ,자동6,15.1,2등급,124
Arteon 2.0 TDI,폭스바겐,경유,1968 ,자동7,15,2등급,125
Peugeot 5008 1.5 BlueHDi,푸조,경유,1499 ,자동8,14,2등급,135
스팅어 2.2디젤 2WD_17인치타이어,기아,경유,2199 ,자동8,15,2등급,126
스팅어 2.2디젤 2WD_18인치타이어,기아,경유,2199 ,자동8,14.1,2등급,135
아반떼(AD PE) 1.6가솔린 (16'''타이어),현대,휘발유,1598 ,무단변속,14.4,2등급,115
아반떼(AD PE) 1.6가솔린 (15'''타이어),현대,휘발유,1598 ,무단변속,15.2,2등급,108
아반떼(AD PE) 1.6가솔린,현대,휘발유,1598 ,수동6,14,2등급,119
아반떼(AD PE) 1.6가솔린 (17'''타이어),현대,휘발유,1598 ,무단변속,14.1,2등급,118
"스포티지 2.0디젤 2WD 6MT (PE/18""타이어)",기아,경유,1995 ,수동6,14.4,2등급,131
"G80 2.2디젤 2WD 19MY (18""타이어)",현대,경유,2199 ,자동8,13.8,2등급,138
"스포티지 2.0디젤 2WD 6MT (PE/17""타이어)",기아,경유,1995 ,수동6,15,2등급,125
"스포티지 1.6디젤 4WD (PE/19""타이어)",기아,경유,1598 ,자동7,13.8,2등급,137
"스포티지 2.0디젤 2WD 8AT (PE/18""타이어)",기아,경유,1995 ,자동8,14.1,2등급,134
"스포티지 1.6디젤 4WD (PE/17""타이어)",기아,경유,1598 ,자동7,14.6,2등급,129
"스포티지 1.6디젤 2WD (PE/18""타이어)",기아,경유,1598 ,자동7,15.8,2등급,118
"스포티지 1.6디젤 2WD (PE/19""타이어)",기아,경유,1598 ,자동7,15.3,2등급,122
"스포티지 1.6디젤 4WD (PE/18""타이어)",기아,경유,1598 ,자동7,14.1,2등급,134
"스포티지 2.0디젤 2WD 8AT (PE/19""타이어)",기아,경유,1995 ,자동8,13.8,2등급,137
"스포티지 2.0디젤 2WD 6MT (PE/19""타이어)",기아,경유,1995 ,수동6,14.3,2등급,132
"스포티지 2.0디젤 2WD 8AT (PE/17""타이어)",기아,경유,1995 ,자동8,14.4,2등급,131
"투싼 개조차 1.6디젤 AWD (19""타이어)",현대,경유,1598 ,자동7,13.8,2등급,137
"투싼 개조차 1.6디젤 2WD (18""타이어)",현대,경유,1598 ,자동7,15.8,2등급,118
"투싼 개조차 2.0디젤 2WD 8AT (18""타이어)",현대,경유,1995 ,자동8,14.1,2등급,134
"투싼 개조차 1.6디젤 2WD (19""타이어)",현대,경유,1598 ,자동7,15.3,2등급,122
"투싼 개조차 2.0디젤 2WD 8AT (19""타이어)",현대,경유,1995 ,자동8,13.8,2등급,137
"투싼 개조차 1.6디젤 AWD (18""타이어)",현대,경유,1598 ,자동7,14.1,2등급,134
