모델명,제조/수입사,차종,유형,자동차형식,연료종류,배기량,변속형식,복합모드_CO2,복합_연비,등급
Mercedes-AMG A45 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,194,9,5등급
Mercedes-Benz E 450 4MATIC Coupe,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,192,9.1,5등급
Mercedes-Benz E450 4MATIC Cabriolet ,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,192,9.1,5등급
BMW 740d xDrive,BMW,승용차,일반형,하이브리드,경유,2993,자동8,151,12.7,3등급
트레일블레이저 1.35 TURBO AWD,한국지엠,승용차,다목적형,내연기관,휘발유,1341,자동9,143,11.8,3등급
트레일블레이저 1.35 TURBO FWD,한국지엠,승용차,다목적형,내연기관,휘발유,1341,무단변속,133,12.6,3등급
트레일블레이저 1.35 TURBO FWD,한국지엠,승용차,다목적형,내연기관,휘발유,1341,무단변속,129,12.9,3등급
트레일블레이저 1.35 TURBO AWD,한국지엠,승용차,다목적형,내연기관,휘발유,1341,자동9,146,11.6,3등급
SMART EV Z,쎄미시스코,승용차,일반형,전기,전기,0,없음,0,5.8,고속
"Mercedes-Benz GLC220 d 4MATIC Coupe	",벤츠,승용차,다목적형,내연기관,경유,1950,자동9,154,12.4,3등급
Mercedes-Benz GLC220 d 4MATIC,벤츠,승용차,다목적형,내연기관,경유,1950,자동9,154,12.4,3등급
Mercedes-AMG S63 4MATIC Coupe,벤츠,승용차,일반형,내연기관,휘발유,3982,자동9,242,7.3,5등급
Mercedes-Benz  A250 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,150,11.5,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,153,11,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치(빌트인캠),기아,승용차,다목적형,내연기관,휘발유,2497,자동8,154,10.9,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 7인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,175,9.7,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 5인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,175,9.7,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 6인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,175,9.7,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 6인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,159,10.6,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 7인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,168,10,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 7인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,164,10.3,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 7인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,159,10.6,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 5인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,168,10,4등급
쏘렌토(MQ4) 2.5T-GDI 4WD 6인 18인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,168,10,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 5인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,164,10.3,4등급
쏘렌토(MQ4) 2.5T-GDI 2WD 6인 20인치타이어,기아,승용차,다목적형,내연기관,휘발유,2497,자동8,164,10.3,4등급
G70(IK PE) 2.2디젤 2WD_18/19인치타이어,현대,승용차,일반형,내연기관,경유,2199,자동8,134,14.2,2등급
G70(IK PE) 2.2디젤 AWD_17인치타이어,현대,승용차,일반형,내연기관,경유,2199,자동8,144,13.3,3등급
G70(IK PE)  2.2디젤 AWD_18/19인치타이어,현대,승용차,일반형,내연기관,경유,2199,자동8,146,13.1,3등급
G70(IK PE) 3.3T-GDI 2WD 19인치(썸머)_SP,현대,승용차,일반형,내연기관,휘발유,3342,자동8,188,9.1,5등급
G70(IK PE) 3.3T-GDI 2WD 19인치(올시즌)_SP,현대,승용차,일반형,내연기관,휘발유,3342,자동8,182,9.4,4등급
G70(IK PE) 3.3T-GDI AWD 19인치(썸머),현대,승용차,일반형,내연기관,휘발유,3342,자동8,203,8.5,5등급
G70(IK PE)3.3T-GDI AWD 19인치(올시즌),현대,승용차,일반형,내연기관,휘발유,3342,자동8,193,8.9,5등급
G70(IK PE) 3.3T-GDI 2WD 19인치(썸머),현대,승용차,일반형,내연기관,휘발유,3342,자동8,188,9.1,5등급
G70(IK PE) 3.3T-GDI 2WD 19인치(올시즌),현대,승용차,일반형,내연기관,휘발유,3342,자동8,182,9.4,4등급
G70(IK PE) 3.3T-GDI AWD 19인치(썸머)_SP,현대,승용차,일반형,내연기관,휘발유,3342,자동8,203,8.5,5등급
G70(IK PE) 3.3T-GDI AWD 19인치(올시즌)_SP,현대,승용차,일반형,내연기관,휘발유,3342,자동8,193,8.9,5등급
G70(IK PE) 2.2디젤 2WD_17인치(빌트인캠),현대,승용차,일반형,내연기관,경유,2199,자동8,129,14.7,2등급
G70(IK PE) 2.2디젤 2WD_17인치타이어,현대,승용차,일반형,내연기관,경유,2199,자동8,127,14.9,2등급
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머)_SP,현대,승용차,일반형,내연기관,휘발유,1998,자동8,163,10.4,4등급
G70(IK PE) 2.0T-GDI AWD 19인치(썸머)_SP,현대,승용차,일반형,내연기관,휘발유,1998,자동8,184,9.3,5등급
G70(IK PE) 2.0T-GDI AWD 19인치(올시즌)_SP,현대,승용차,일반형,내연기관,휘발유,1998,자동8,180,9.5,4등급
G70(IK PE) 2.0T-GDI 2WD 18인치(빌트인캠),현대,승용차,일반형,내연기관,휘발유,1998,자동8,162,10.5,4등급
G70(IK PE) 2.0T-GDI 2WD 18인치타이어,현대,승용차,일반형,내연기관,휘발유,1998,자동8,158,10.7,4등급
G70(IK PE) 2.0T-GDI AWD 18인치(빌트인캠),현대,승용차,일반형,내연기관,휘발유,1998,자동8,176,9.7,4등급
G70(IK PE) 2.0T-GDI AWD 18인치타이어,현대,승용차,일반형,내연기관,휘발유,1998,자동8,172,9.9,4등급
G70(IK PE) 2.0T-GDI 2WD 19인치(썸머),현대,승용차,일반형,내연기관,휘발유,1998,자동8,163,10.4,4등급
G70(IK PE) 2.0T-GDI AWD 19인치(썸머),현대,승용차,일반형,내연기관,휘발유,1998,자동8,184,9.3,5등급
G70(IK PE) 2.0T-GDI AWD 19인치(올시즌),현대,승용차,일반형,내연기관,휘발유,1998,자동8,180,9.5,4등급
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌),현대,승용차,일반형,내연기관,휘발유,1998,자동8,162,10.5,4등급
G70(IK PE) 2.0T-GDI 2WD 19인치(올시즌)_SP,현대,승용차,일반형,내연기관,휘발유,1998,자동8,162,10.5,4등급
Mercedes-AMG A35 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동7,174,10.3,4등급
CEVO-C SE,(주)캠시스,승용차,일반형,전기,전기,0,없음,0,6.3,고속
CHEVROLET COLORADO AWD,GM,화물차,일반형,내연기관,휘발유,3649,자동8,216,8.1,5등급
CHEVROLET COLORADO RWD,GM,화물차,일반형,내연기관,휘발유,3649,자동8,210,8.3,5등급
짚 랭글러 윌리스,크라이슬러,승용차,다목적형,내연기관,휘발유,1995,자동8,193,9,5등급
R8 V10 performance,아우디,승용차,일반형,내연기관,휘발유,5204,자동7,296,6,5등급
BMW 730Ld xDrive,BMW,승용차,일반형,하이브리드,경유,2993,자동8,147,13,3등급
BMW 730d xDrive,BMW,승용차,일반형,하이브리드,경유,2993,자동8,156,12.3,3등급
BMW 730Ld xDrive,BMW,승용차,일반형,하이브리드,경유,2993,자동8,147,13,3등급
Mercedes-AMG E53 4MATIC + Coupe,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.2,5등급
Mercedes-AMG E53 4MATIC +,벤츠,승용차,일반형,하이브리드,휘발유,2999,자동9,189,9.2,5등급
토요타 RAV4,토요타,승용차,다목적형,내연기관,휘발유,2487,자동8,143,11.5,4등급
토요타 RAV4 Hybrid 2WD,토요타,승용차,다목적형,하이브리드,휘발유,2487,무단변속,101,15.7,2등급
A5 Sportback 40 TFSI quattro,아우디,승용차,일반형,내연기관,휘발유,1984,자동7,150,11.3,4등급
렉서스 ES300h,토요타,승용차,일반형,하이브리드,휘발유,2487,무단변속,91,17.2,1등급
Q7 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,219,7.9,5등급
The Passat GT 2.0 TDI 4Motion,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,136,14,2등급
투싼 1.6T-GDI 하이브리드 6AT (빌트인캠),현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,102,15.8,2등급
투싼 1.6T-GDI 하이브리드 6AT,현대,승용차,다목적형,하이브리드,휘발유,1598,자동6,99,16.2,1등급
투싼 2.0디젤 AWD 8AT 17/18인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,144,13.3,3등급
투싼 2.0디젤 2WD 8AT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,137,13.9,2등급
투싼 2.0디젤 2WD 8AT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,134,14.2,2등급
투싼 2.0디젤 2WD 8AT 18인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,133,14.3,2등급
투싼 2.0디젤 2WD 8AT 17인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,128,14.8,2등급
투싼 1.6T-GDI AWD 7DCT 17/18인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,145,11.6,3등급
투싼 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,139,12,3등급
투싼 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,136,12.3,3등급
투싼 1.6T-GDI 2WD 7DCT 17/18인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,133,12.5,3등급
투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,148,13,3등급
투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,경유,1998,자동8,145,13.2,3등급
투싼 1.6T-GDI AWD 7DCT 19인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,153,11,4등급
투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠),현대,승용차,다목적형,내연기관,휘발유,1598,자동7,148,11.3,4등급
투싼 2.0디젤 2WD 8AT 19인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,137,13.9,2등급
투싼 2.0디젤 AWD 8AT 19인치,현대,승용차,다목적형,내연기관,경유,1998,자동8,148,13,3등급
투싼 1.6T-GDI 2WD 7DCT 19인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,139,12,3등급
투싼 1.6T-GDI AWD 7DCT 19인치,현대,승용차,다목적형,내연기관,휘발유,1598,자동7,153,11,4등급
Mercedes-AMG CLA45 S 4MATIC,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,194,9,5등급
Mercedes-AMG GT-C Roadster,벤츠,승용차,일반형,내연기관,휘발유,3982,자동7,248,7,5등급
Mercedes-AMG GT,벤츠,승용차,일반형,내연기관,휘발유,3982,자동7,248,7,5등급
Mercedes-Benz E220 d 4MATIC,벤츠,승용차,일반형,내연기관,경유,1950,자동9,145,13.2,3등급
Mercedes-Benz GLC300 e 4MATIC,벤츠,승용차,다목적형,PHEV,전기+휘발유,1991,자동9,57,2.3 / 9.4,PHEV
Mercedes-Benz GLC300 e 4MATIC Coupe,벤츠,승용차,다목적형,PHEV,전기+휘발유,1991,자동9,57,2.3 / 9.4,PHEV
BMW M5,BMW,승용차,일반형,내연기관,휘발유,4395,자동8,225,7.6,5등급
BMW 523d,BMW,승용차,일반형,하이브리드,경유,1995,자동8,119,15.6,2등급
BMW 523d xDrive,BMW,승용차,일반형,하이브리드,경유,1995,자동8,123,15.3,2등급
MINI Cooper D Countryman ,MINI,승용차,일반형,내연기관,경유,1995,자동8,124,15.2,2등급
MINI Cooper SD Countryman ALL4,MINI,승용차,일반형,내연기관,경유,1995,자동8,133,14.3,2등급
BMW 420d Coupe,BMW,승용차,일반형,내연기관,경유,1995,자동8,132,14.3,2등급
짚 글래디에이터,크라이슬러,화물차,화물,내연기관,휘발유,3604,자동8,269,6.5,5등급
카니발 3.5GDI 7인 19인치타이어,기아,승용차,기타형,내연기관,휘발유,3470,자동8,192,8.9,5등급
카니발 3.5GDI 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,193,8.9,5등급
카니발 3.5GDI 9인 18인치/19인치타이어,기아,승용차,기타형,내연기관,휘발유,3470,자동8,187,9.1,5등급
카니발 2.2디젤 7인 19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.5,3등급
카니발 2.2디젤 7인 19인치타이어,기아,승용차,기타형,내연기관,경유,2151,자동8,153,12.6,3등급
카니발 3.5GDI 9인 18인치/19인치타이어 (빌트인캠),기아,승용차,기타형,내연기관,휘발유,3470,자동8,188,9.1,5등급
카니발 2.2디젤 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,경유,2151,자동8,154,12.4,3등급
카니발 2.2디젤 11인 18인치타이어,기아,승합차,일반형,내연기관,경유,2151,자동8,151,12.7,3등급
카니발 2.2디젤 9인 18인치/19인치타이어(빌트인캠),기아,승용차,기타형,내연기관,경유,2151,자동8,147,13,3등급
카니발 2.2디젤 9인 18인치/19인치타이어,기아,승용차,기타형,내연기관,경유,2151,자동8,146,13.1,3등급
카니발 3.5GDI 11인 18인치타이어,기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.1,5등급
카니발 3.5GDI 11인 18인치타이어(빌트인캠),기아,승합차,일반형,내연기관,휘발유,3470,자동8,188,9.1,5등급
Mercedes-Benz GLB250 4MATIC,벤츠,승용차,다목적형,내연기관,휘발유,1991,자동8,170,10.5,4등급
Mercedes-Benz GLA250 4MATIC,벤츠,승용차,다목적형,내연기관,휘발유,1991,자동8,170,10.5,4등급
말리부 2.0 TURBO,한국지엠,승용차,일반형,내연기관,휘발유,1998,자동6,163,10.5,4등급
BMW 420i Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,145,11.5,4등급
BMW 430i Coupe,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,150,11.1,4등급
마이브 M1,투데이션샤인,승용차,기타형,전기,전기,0,없음,0,5.5,고속
BMW 218d Gran Coupe,BMW,승용차,일반형,내연기관,경유,1995,자동8,132,14.3,2등급
BMW M550i xDrive,BMW,승용차,일반형,내연기관,휘발유,4395,자동8,219,7.9,5등급
페라리 Roma,페라리,승용차,일반형,내연기관,휘발유,3855,자동8,237,7.4,5등급
"쏘렌토 1.6T-GDI 하이브리드 2WD 7인 17""(빌트인캠)",기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15,2등급
쏘렌토 1.6T-GDI 하이브리드 2WD 7인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.3,2등급
쏘렌토 1.6T-GDI 하이브리드 4WD 7인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,124,13.2,3등급
쏘렌토 1.6T-GDI 하이브리드 4WD 7인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,120,13.7,3등급
쏘렌토 1.6T-GDI 하이브리드 2WD 7인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,115,14.3,2등급
"쏘렌토 1.6T-GDI 하이브리드 2WD 5인 17""(빌트인캠)",기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15,2등급
"쏘렌토 1.6T-GDI 하이브리드 2WD 6인 17""(빌트인캠)",기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,108,15,2등급
쏘렌토 1.6T-GDI 하이브리드 2WD 5인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.3,2등급
쏘렌토 1.6T-GDI 하이브리드 2WD 6인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,106,15.3,2등급
쏘렌토 1.6T-GDI 하이브리드 4WD 5인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,124,13.2,3등급
쏘렌토 1.6T-GDI 하이브리드 4WD 6인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,124,13.2,3등급
쏘렌토 1.6T-GDI 하이브리드 4WD 5인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,120,13.7,3등급
쏘렌토 1.6T-GDI 하이브리드 4WD 6인 17인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,120,13.7,3등급
쏘렌토 1.6T-GDI 하이브리드 2WD 5인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,115,14.3,2등급
쏘렌토 1.6T-GDI 하이브리드 2WD 6인 19인치타이어,기아,승용차,다목적형,하이브리드,휘발유,1598,자동6,115,14.3,2등급
아반떼 1.6GDI 하이브리드 (16“타이어),현대,승용차,일반형,하이브리드,휘발유,1580,자동6,74,21.1,1등급
아반떼 1.6GDI 하이브리드 (17“타이어),현대,승용차,일반형,하이브리드,휘발유,1580,자동6,81,19.5,1등급
아반떼 1.6 T-GDI 6MT 18인치 타이어,현대,승용차,일반형,내연기관,휘발유,1598,수동6,136,12.3,3등급
아반떼 1.6 T-GDI 7DCT 18인치 타이어,현대,승용차,일반형,내연기관,휘발유,1598,자동7,130,12.8,3등급
쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어,현대,승용차,일반형,하이브리드,휘발유,1999,자동6,88,18,1등급
쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠),현대,승용차,일반형,하이브리드,휘발유,1999,자동6,91,17.6,1등급
BMW 630i xDrive,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,186,9.3,5등급
Q8 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,229,7.6,5등급
Q8 55 TFSI quattro,아우디,승용차,다목적형,하이브리드,휘발유,2995,자동8,229,7.6,5등급
The Passat GT 2.0 TDI,폭스바겐,승용차,일반형,내연기관,경유,1968,자동7,126,14.9,2등급
BMW M5 Competition Package,BMW,승용차,일반형,내연기관,휘발유,4395,자동8,225,7.6,5등급
MINI John Cooper Works Countryman ALL4,MINI,승용차,일반형,내연기관,휘발유,1998,자동8,162,10.4,4등급
BMW 530e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,28,3.5 / 12.4,PHEV
ZOE,르노코리아자동차(주),승용차,일반형,전기(MCT),전기,0,없음,0,4.8,고속
페라리 SF90 Stradale Assetto Fiorano,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,163,2.7 / 7.4,PHEV
페라리 SF90 Stradale,페라리,승용차,일반형,PHEV,전기+휘발유,3990,자동8,163,2.7 / 7.4,PHEV
BMW 530i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,139,12,3등급
BMW 530i xDrive,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,153,11,4등급
스팅어(CK PE) 2.5T-GDI AWD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,2497,자동8,172,9.9,4등급
스팅어(CK PE) 2.5T-GDI AWD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,2497,자동8,170,10,4등급
스팅어(CK PE) 2.5T-GDI AWD_18인치타이어,기아,승용차,일반형,내연기관,휘발유,2497,자동8,166,10.2,4등급
스팅어(CK PE) 2.5T-GDI 2WD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,2497,자동8,160,10.6,4등급
스팅어(CK PE) 2.5T-GDI 2WD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,2497,자동8,156,10.8,4등급
스팅어(CK PE) 2.5T-GDI 2WD_18인치타이어,기아,승용차,일반형,내연기관,휘발유,2497,자동8,151,11.2,4등급
스팅어(CK PE) 3.3T-GDI 2WD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,3342,자동8,192,8.8,5등급
스팅어(CK PE) 3.3T-GDI 2WD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,3342,자동8,192,9,5등급
스팅어(CK PE) 3.3T-GDI AWD_19인치(썸머),기아,승용차,일반형,내연기관,휘발유,3342,자동8,202,8.4,5등급
스팅어(CK PE) 3.3T-GDI AWD_19인치(올시즌),기아,승용차,일반형,내연기관,휘발유,3342,자동8,203,8.5,5등급
Explorer 3.0 PHEV,포드,승용차,다목적형,PHEV,전기+휘발유,2956,자동10,65,2.4 / 9.3,PHEV
Lincoln Aviator 3.0 PHEV,포드,승용차,다목적형,PHEV,전기+휘발유,2956,자동10,65,2.4 / 9.3,PHEV
911 카레라 S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,210,8.3,5등급
911 카레라 4S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.1,5등급
911 카레라,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,204,8.5,5등급
911 카레라 4,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.2,5등급
911 카레라 S 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,210,8.3,5등급
911 카레라 4S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.1,5등급
911 카레라 4 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.2,5등급
911 타르가 4S,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,216,8.1,5등급
911 카레라 카브리올레,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,204,8.5,5등급
911 타르가 4,포르쉐,승용차,일반형,내연기관,휘발유,2981,자동8,213,8.2,5등급
BMW 520i,BMW,승용차,일반형,내연기관,휘발유,1998,자동8,135,12.4,3등급
CR-V 4WD,혼다,승용차,다목적형,내연기관,휘발유,1498,무단변속,145,11.5,4등급
MINI Cooper Countryman ,MINI,승용차,일반형,내연기관,휘발유,1499,자동7,144,11.6,3등급
MINI Cooper D Countryman ALL4,MINI,승용차,일반형,내연기관,경유,1995,자동8,130,14.5,2등급
짚 글래디에이터,크라이슬러,화물차,화물,내연기관,휘발유,3604,자동8,269,6.5,5등급
BMW 540i xDrive,BMW,승용차,일반형,내연기관,휘발유,2998,자동8,170,9.9,4등급
DS3 CROSSBACK E-TENSE,PSA Automobiles,승용차,다목적형,전기(MCT),전기,0,없음,0,4.3,고속
Q5 50 TDI quattro,아우디,승용차,다목적형,내연기관,경유,2967,자동8,175,11.1,4등급
Q5 50 TDI quattro,아우디,승용차,다목적형,내연기관,경유,2967,자동8,175,11.1,4등급
SQ5 TDI,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,168,11.5,4등급
SQ5 TDI,아우디,승용차,다목적형,하이브리드,경유,2967,자동8,168,11.5,4등급
LSEV,코리아에어카고,화물차,밴형,전기,전기,0,없음,0,4.4,고속
e-tron 55 quattro,아우디,승용차,다목적형,전기(MCT),전기,0,없음,0,3,고속
Mercedes-Benz GLB 220,벤츠,승용차,일반형,내연기관,휘발유,1991,자동8,150,11.5,4등급
"SM6 1.8 (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1798,자동7,144,11.6,3등급
"SM6 1.3 (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,123,13.3,3등급
"SM6 1.3 (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,128,12.9,3등급
"SM6 1.3 (16"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,121,13.6,3등급
"SM6 1.8 (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1798,자동7,141,11.8,3등급
"SM6 2.0 LPLi New (19"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,142,9.2,5등급
"SM6 2.0 LPLi New (18"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,139,9.4,4등급
"SM6 2.0 LPLi New (16"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,137,9.5,4등급
BMW X6 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,185,10.5,4등급
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,191,10.1,4등급
BMW X5 xDrive40d,BMW,승용차,다목적형,하이브리드,경유,2993,자동8,191,10.1,4등급
"SM6 1.3 (17"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,휘발유,1332,자동7,121,13.6,3등급
"SM6 2.0 LPLi New (17"" Tire)",르노코리아자동차(주),승용차,일반형,내연기관,LPG,1998,무단변속,137,9.5,4등급
BMW X5 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,260,6.6,5등급
BMW X6 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,247,7,5등급
BMW X7 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,265,6.5,5등급
BMW X7 M50i,BMW,승용차,다목적형,내연기관,휘발유,4395,자동8,265,6.5,5등급
BMW X5 xDrive40i,BMW,승용차,다목적형,내연기관,휘발유,2998,자동8,210,8.1,5등급
쏘나타(DN8) 2.5 T-GDI_19인치타이어(빌트인캠),현대,승용차,일반형,내연기관,휘발유,2497,자동8,155,10.9,4등급
쏘나타(DN8) 2.5 T-GDI_19인치타이어,현대,승용차,일반형,내연기관,휘발유,2497,자동8,152,11.1,4등급
Mercedes-AMG GLC 63 S 4MATIC + Coupe,벤츠,승용차,다목적형,내연기관,휘발유,3982,자동9,256,7,5등급
싼타페 2.2디젤 2WD 5인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,134,14.2,2등급
싼타페 2.2디젤 2WD 7인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,134,14.2,2등급
싼타페 2.2디젤 AWD 5인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,149,12.8,3등급
싼타페 2.2디젤 AWD 5인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,144,13.2,3등급
싼타페 2.2디젤 2WD 5인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.6,3등급
싼타페 2.2디젤 2WD 5인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,13.9,2등급
싼타페 2.2디젤 AWD 5인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,141,13.5,3등급
싼타페 2.2디젤 AWD 7인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,149,12.8,3등급
싼타페 2.2디젤 AWD 7인 18인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,144,13.2,3등급
싼타페 2.2디젤 2WD 7인 20인치타이어,현대,승용차,다목적형,내연기관,경유,2151,자동8,139,13.6,3등급
싼타페 2.2디젤 2WD 7인 18인치타이어(빌트인캠),현대,승용차,다목적형,내연기관,경유,2151,자동8,136,13.9,2등급
BMW 330e,BMW,승용차,일반형,PHEV,전기+휘발유,1998,자동8,34,3.4 / 11.8,PHEV
벤츠 E 220 d Cabriolet,벤츠,승용차,일반형,내연기관,경유,1950,자동9,142,13.4,3등급
