"모델명","제조사","유종","배기량","변속형식","복합연비","등급","CO2배출량"
"마세라티 기블리 S Q4","마세라티","휘발유","2979","자동8","6.7","5등급","252"
"마세라티 콰트로포르테 S Q4","마세라티","휘발유","2979","자동8","6.5","5등급","259"
"Aventador SVJ Roadster","람보르기니","휘발유","6498","자동7","4.2","5등급","425"
"티볼리 에어 가솔린 1.5 AT 2WD  16인치 타이어","쌍용","휘발유","1497","자동6","12","3등급","139"
"Aventador S Roadster","람보르기니","휘발유","6498","자동7","4.2","5등급","423"
"싼타페(개조) 2.5T-GDI AWD 5인 20인치타이어","현대","휘발유","2497","자동8","9.5","4등급","178"
"싼타페(개조) 2.5T-GDI AWD 5인 18인치타이어","현대","휘발유","2497","자동8","9.9","4등급","172"
"싼타페(개조) 2.5T-GDI 2WD 5인 20인치타이어","현대","휘발유","2497","자동8","10.1","4등급","167"
"싼타페(개조) 2.5T-GDI AWD 7인 20인치타이어","현대","휘발유","2497","자동8","9.5","4등급","178"
"싼타페(개조) 2.5T-GDI AWD 7인 18인치타이어","현대","휘발유","2497","자동8","9.9","4등급","172"
"싼타페(개조) 2.5T-GDI 2WD 7인 20인치타이어","현대","휘발유","2497","자동8","10.1","4등급","167"
"싼타페(개조) 2.5T-GDI 2WD 7인 18인치(빌트인캠)","현대","휘발유","2497","자동8","10.4","4등급","162"
"마세라티 르반떼","마세라티","휘발유","2979","자동8","7","5등급","241"
"마세라티 르반떼 S","마세라티","휘발유","2979","자동8","7","5등급","241"
"싼타페(개조) 2.5T-GDI 2WD 7인 18인치타이어","현대","휘발유","2497","자동8","10.5","4등급","161"
"싼타페(개조) 2.5T-GDI 2WD 5인 18인치(빌트인캠)","현대","휘발유","2497","자동8","10.8","4등급","156"
"싼타페(개조) 2.5T-GDI 2WD 5인 18인치타이어","현대","휘발유","2497","자동8","10.8","4등급","156"
"Model X Long Range Plus","테슬라코리아 유한회사","전기","0","없음","4","고속","0"
"Model X Long Range Plus","테슬라코리아 유한회사","전기","0","없음","4","고속","0"
"Model X Long Range Plus","테슬라코리아 유한회사","전기","0","없음","4","고속","0"
"Explorer 3.0 PHEV","포드","전기+휘발유","2956","자동10","2.4/9.3","PHEV","65"
"Mercedes-AMG CLA45 S 4MATIC","벤츠","휘발유","1991","자동8","9","5등급","194"
"Mercedes-Benz C200","벤츠","휘발유","1991","자동9","10.8","4등급","158"
"타이칸 4S (High, 5인승)","포르쉐","전기","0","없음","2.9","고속","0"
"BMW X6 xDrive30d","BMW","경유","2993","자동8","10.9","4등급","178"
"Lincoln Aviator 3.0 PHEV","포드","전기+휘발유","2956","자동10","2.4/9.3","PHEV","65"
"볼보 S90T8 AWD","볼보","전기+휘발유","1969","자동8","2.9/11.2","PHEV","63"
"BMW X5 xDrive30d","BMW","경유","2993","자동8","10.7","4등급","181"
"A4 40 TFSI","아우디","휘발유","1984","자동7","11.8","3등급","144"
"K5(DL3) 2.0GDI 하이브리드_18인치(빌트인캠)","기아","휘발유","1999","자동6","17.6","1등급","91"
"K5(DL3) 2.0GDI 하이브리드_18인치타이어","기아","휘발유","1999","자동6","18","1등급","88"
"레인지로버 스포츠 P360","랜드로버","휘발유","2996","자동8","7.5","5등급","223"
"e-tron Sportback 50 quattro","아우디","전기","0","없음","3","고속","0"
"e-tron 50 quattro","아우디","전기","0","없음","2.9","고속","0"
"짚 글래디에이터","크라이슬러","휘발유","3604","자동8","6.5","5등급","269"
"Aventador S Coupe","람보르기니","휘발유","6498","자동7","4.1","5등급","438"
"레인지로버 스포츠 D350","랜드로버","경유","2997","자동8","10.5","4등급","185"
"BMW 740d xDrive","BMW","경유","2993","자동8","12.7","3등급","151"
"재규어 F-Type P380 Coupe","재규어","휘발유","2995","자동8","8.6","5등급","198"
"BMW 730Ld xDrive","BMW","경유","2993","자동8","13","3등급","147"
"BMW 730d xDrive","BMW","경유","2993","자동8","12.3","3등급","156"
"트랙스 1.4","한국지엠","휘발유","1399","자동6","11.4","4등급","148"
"Q3 Sportback 35 TDI quattro","아우디","경유","1968","자동7","14","2등급","135"
"BMW 530e","BMW","전기+휘발유","1998","자동8","3.5/12.4","PHEV","28"
"BMW M550i xDrive","BMW","휘발유","4395","자동8","7.9","5등급","219"
"쏘렌토(MQ4) 2.5T-GDI 4WD 5인 20인치타이어","기아","휘발유","2497","자동8","9.7","4등급","175"
"쏘렌토(MQ4) 2.5T-GDI 4WD 6인 20인치타이어","기아","휘발유","2497","자동8","9.7","4등급","175"
"쏘렌토(MQ4) 2.5T-GDI 4WD 5인 18인치타이어","기아","휘발유","2497","자동8","10","4등급","168"
"쏘렌토(MQ4) 2.5T-GDI 4WD 6인 18인치타이어","기아","휘발유","2497","자동8","10","4등급","168"
"쏘렌토(MQ4) 2.5T-GDI 2WD 5인 20인치타이어","기아","휘발유","2497","자동8","10.3","4등급","164"
"쏘렌토(MQ4) 2.5T-GDI 2WD 6인 20인치타이어","기아","휘발유","2497","자동8","10.3","4등급","164"
"쏘렌토(MQ4) 2.5T-GDI 2WD 6인 18인치타이어","기아","휘발유","2497","자동8","10.6","4등급","159"
"S5 Sportback TFSI","아우디","휘발유","2995","자동8","9.2","5등급","189"
"BMW 523d xDrive","BMW","경유","1995","자동8","15.3","2등급","123"
"BMW 523d","BMW","경유","1995","자동8","15.6","2등급","119"
"S4 TFSI","아우디","휘발유","2995","자동8","9.9","4등급","175"
"BMW M5","BMW","휘발유","4395","자동8","7.6","5등급","225"
"C35S5","DFSK","휘발유","1493","수동5","9.7","4등급","174"
"쏘렌토(MQ4) 2.5T-GDI 4WD 7인 20인치타이어","기아","휘발유","2497","자동8","9.7","4등급","175"
"쏘렌토(MQ4) 2.5T-GDI 4WD 7인 18인치타이어","기아","휘발유","2497","자동8","10","4등급","168"
"Q8 55 TFSI quattro","아우디","휘발유","2995","자동8","7.9","5등급","222"
"쏘렌토(MQ4) 2.5T-GDI 2WD 7인 20인치타이어","기아","휘발유","2497","자동8","10.3","4등급","164"
"쏘렌토(MQ4) 2.5T-GDI 2WD 7인 18인치타이어","기아","휘발유","2497","자동8","10.6","4등급","159"
"쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치타이어","기아","휘발유","2497","자동8","11","4등급","153"
"쏘렌토(MQ4) 2.5T-GDI 2WD 5인 18인치(빌트인캠)","기아","휘발유","2497","자동8","10.9","4등급","154"
"BMW 420d Coupe","BMW","경유","1995","자동8","14.3","2등급","132"
"BMW 540i xDrive","BMW","휘발유","2998","자동8","9.9","4등급","170"
"BMW 430i Coupe","BMW","휘발유","1998","자동8","11.1","4등급","150"
"911 터보 S 카브리올레","포르쉐","휘발유","3745","자동8","6.8","5등급","257"
"911 터보 S","포르쉐","휘발유","3745","자동8","6.8","5등급","257"
"스팅어(CK PE) 3.3T-GDI 2WD_19인치(썸머)","기아","휘발유","3342","자동8","8.8","5등급","192"
"스팅어(CK PE) 3.3T-GDI 2WD_19인치(올시즌)","기아","휘발유","3342","자동8","9","5등급","192"
"스팅어(CK PE) 3.3T-GDI AWD_19인치(썸머)","기아","휘발유","3342","자동8","8.4","5등급","202"
"스팅어(CK PE) 3.3T-GDI AWD_19인치(올시즌)","기아","휘발유","3342","자동8","8.5","5등급","203"
"MINI Cooper D Countryman ALL4","MINI","경유","1995","자동8","14.5","2등급","130"
"BMW X5 xDrive40i","BMW","휘발유","2998","자동8","8.1","5등급","210"
"BMW 520i","BMW","휘발유","1998","자동8","12.4","3등급","135"
"MINI Cooper Countryman ","MINI","휘발유","1499","자동7","11.6","3등급","144"
"BMW 630i xDrive","BMW","휘발유","2998","자동8","9.3","5등급","186"
"BMW 420i Coupe","BMW","휘발유","1998","자동8","11.5","4등급","145"
"BMW 218d Gran Coupe","BMW","경유","1995","자동8","14.3","2등급","132"
"레인지로버 이보크 P200","랜드로버","휘발유","1997","자동9","8.6","5등급","194"
"BMW X7 M50i","BMW","휘발유","4395","자동8","6.5","5등급","265"
"MINI Cooper D Countryman ","MINI","경유","1995","자동8","15.2","2등급","124"
"MINI Cooper SD Countryman ALL4","MINI","경유","1995","자동8","14.3","2등급","133"
"투싼 1.6T-GDI AWD 7DCT 19인치 (빌트인캠)","현대","휘발유","1598","자동7","11","4등급","153"
"투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠)","현대","휘발유","1598","자동7","11.3","4등급","148"
"투싼 1.6T-GDI AWD 7DCT 17/18인치","현대","휘발유","1598","자동7","11.6","3등급","145"
"투싼 1.6T-GDI 2WD 7DCT 19인치 (빌트인캠)","현대","휘발유","1598","자동7","12","3등급","139"
"투싼 1.6T-GDI 2WD 7DCT 18인치 (빌트인캠)","현대","휘발유","1598","자동7","12.3","3등급","136"
"투싼 1.6T-GDI 2WD 7DCT 17/18인치","현대","휘발유","1598","자동7","12.5","3등급","133"
"투싼 2.0디젤 AWD 8AT 19인치 (빌트인캠)","현대","경유","1998","자동8","13","3등급","148"
"투싼 2.0디젤 AWD 8AT 18인치 (빌트인캠)","현대","경유","1998","자동8","13.2","3등급","145"
"투싼 2.0디젤 AWD 8AT 17/18인치","현대","경유","1998","자동8","13.3","3등급","144"
"투싼 2.0디젤 2WD 8AT 19인치 (빌트인캠)","현대","경유","1998","자동8","13.9","2등급","137"
"투싼 2.0디젤 2WD 8AT 18인치 (빌트인캠)","현대","경유","1998","자동8","14.2","2등급","134"
"투싼 2.0디젤 2WD 8AT 18인치","현대","경유","1998","자동8","14.3","2등급","133"
"투싼 2.0디젤 2WD 8AT 17인치","현대","경유","1998","자동8","14.8","2등급","128"
"스팅어(CK PE) 2.5T-GDI AWD_19인치(썸머)","기아","휘발유","2497","자동8","9.9","4등급","172"
"스팅어(CK PE) 2.5T-GDI AWD_19인치(올시즌)","기아","휘발유","2497","자동8","10","4등급","170"
"R8 V10 performance","아우디","휘발유","5204","자동7","6","5등급","296"
"BMW 530i","BMW","휘발유","1998","자동8","12","3등급","139"
"BMW 530i xDrive","BMW","휘발유","1998","자동8","11","4등급","153"
"MINI John Cooper Works Countryman ALL4","MINI","휘발유","1998","자동8","10.4","4등급","162"
"스팅어(CK PE) 2.5T-GDI AWD_18인치타이어","기아","휘발유","2497","자동8","10.2","4등급","166"
"BMW X5 xDrive40d","BMW","경유","2993","자동8","10.1","4등급","191"
"스팅어(CK PE) 2.5T-GDI 2WD_19인치(썸머)","기아","휘발유","2497","자동8","10.6","4등급","160"
"CHEVROLET COLORADO AWD","GM","휘발유","3649","자동8","8.1","5등급","216"
"CHEVROLET COLORADO RWD","GM","휘발유","3649","자동8","8.3","5등급","210"
"스팅어(CK PE) 2.5T-GDI 2WD_19인치(올시즌)","기아","휘발유","2497","자동8","10.8","4등급","156"
"스팅어(CK PE) 2.5T-GDI 2WD_18인치타이어","기아","휘발유","2497","자동8","11.2","4등급","151"
"LSEV","코리아에어카고","전기","0","없음","4.4","고속","0"
"BMW M5 Competition Package","BMW","휘발유","4395","자동8","7.6","5등급","225"
"디스커버리 스포츠 P200","랜드로버","휘발유","1997","자동9","7.9","5등급","212"
"쏘나타(DN8) 2.0GDI 하이브리드_18인치타이어","현대","휘발유","1999","자동6","18","1등급","88"
"쏘나타(DN8) 2.0GDI 하이브리드_18인치(빌트인캠)","현대","휘발유","1999","자동6","17.6","1등급","91"
"투싼 1.6T-GDI 하이브리드 6AT (빌트인캠)","현대","휘발유","1598","자동6","15.8","2등급","102"
"투싼 1.6T-GDI 하이브리드 6AT","현대","휘발유","1598","자동6","16.2","1등급","99"
"페라리 SF90 Stradale","페라리","전기+휘발유","3990","자동8","2.7/7.4","PHEV","163"
"S5 Coupe TFSI","아우디","휘발유","2995","자동8","9.5","4등급","183"
"말리부 2.0 TURBO","한국지엠","휘발유","1998","자동6","10.5","4등급","163"
"BMW 320d","BMW","경유","1995","자동8","14.9","2등급","126"
"BMW 320d xDrive","BMW","경유","1995","자동8","14.1","2등급","134"
"캐딜락 XT4","GM","휘발유","1998","자동9","10","4등급","173"
"코란도 e-motion 2WD Non Heat Pump","쌍용","전기","0","없음","4.8","고속","0"
"카니발 3.5GDI 11인 18인치타이어","기아","휘발유","3470","자동8","9.1","5등급","188"
"카니발 3.5GDI 11인 18인치타이어(빌트인캠)","기아","휘발유","3470","자동8","9.1","5등급","188"
"카니발 3.5GDI 7인 19인치타이어","기아","휘발유","3470","자동8","8.9","5등급","192"
"카니발 3.5GDI 7인 19인치타이어(빌트인캠)","기아","휘발유","3470","자동8","8.9","5등급","193"
"카니발 3.5GDI 9인 18인치/19인치타이어","기아","휘발유","3470","자동8","9.1","5등급","187"
"카니발 2.2디젤 11인 18인치타이어(빌트인캠)","기아","경유","2151","자동8","12.4","3등급","154"
"카니발 2.2디젤 11인 18인치타이어","기아","경유","2151","자동8","12.7","3등급","151"
"카니발 2.2디젤 9인 18인치/19인치타이어(빌트인캠)","기아","경유","2151","자동8","13","3등급","147"
"카니발 2.2디젤 9인 18인치/19인치타이어","기아","경유","2151","자동8","13.1","3등급","146"
"카니발 2.2디젤 7인 19인치타이어(빌트인캠)","기아","경유","2151","자동8","12.5","3등급","153"
"페라리 SF90 Stradale Assetto Fiorano","페라리","전기+휘발유","3990","자동8","2.7/7.4","PHEV","163"
"카니발 2.2디젤 7인 19인치타이어","기아","경유","2151","자동8","12.6","3등급","153"
"카니발 3.5GDI 9인 18인치/19인치타이어 (빌트인캠)","기아","휘발유","3470","자동8","9.1","5등급","188"
"페라리 Roma","페라리","휘발유","3855","자동8","7.4","5등급","237"
"싼타페 2.2디젤 2WD 5인 18인치타이어","현대","경유","2151","자동8","14.2","2등급","134"
