모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
Huracan EVO Spyder RWD,폭스바겐그룹코리아 주식회사,승용차,일반형,5.8,,5.1,7,5등급
BMW X5 xDrive40i,BMW코리아㈜,승용차,다목적형,8,,7.3,9,5등급
BMW M8 Gran Coupe,BMW코리아㈜,승용차,일반형,7.3,,6.4,8.9,5등급
GV80 2.5T-GDI AWD 5인 19인치타이어 (빌트인캠),현대자동차㈜,승용차,다목적형,8.8,,7.9,10,5등급
GV80 2.5T-GDI AWD 5인 19인치타이어,현대자동차㈜,승용차,다목적형,9,,8,10.4,5등급
GV80 2.5T-GDI AWD 5인 20인치타이어,현대자동차㈜,승용차,다목적형,8.6,,7.8,9.8,5등급
GV80 2.5T-GDI AWD 7인 20인치타이어,현대자동차㈜,승용차,다목적형,8.5,,7.6,9.8,5등급
GV80 2.5T-GDI 2WD 5인 22인치타이어,현대자동차㈜,승용차,다목적형,9.1,,8.2,10.4,5등급
GV80 2.5T-GDI 2WD 5인 20인치타이어,현대자동차㈜,승용차,다목적형,9.1,,8.2,10.4,5등급
GV80 2.5T-GDI 2WD 7인 20인치타이어,현대자동차㈜,승용차,다목적형,9.1,,8.2,10.4,5등급
GV80 3.5T-GDI AWD 5인 20인치타이어 (빌트인캠),현대자동차㈜,승용차,다목적형,7.8,,6.9,9.1,5등급
GV80 3.5T-GDI AWD 5인 22인치타이어,현대자동차㈜,승용차,다목적형,7.8,,6.9,9.1,5등급
GV80 3.5T-GDI AWD 7인 20인치타이어,현대자동차㈜,승용차,다목적형,7.8,,6.9,9.1,5등급
GV80 3.5T-GDI 2WD 7인 20인치타이어,현대자동차㈜,승용차,다목적형,8.4,,7.4,9.9,5등급
GV80 3.5T-GDI 2WD 5인 20인치타이어 (빌트인캠),현대자동차㈜,승용차,다목적형,8.4,,7.4,9.9,5등급
GV80 3.5T-GDI AWD 5인 20인치타이어,현대자동차㈜,승용차,다목적형,8,,7.1,9.3,5등급
GV80 3.5T-GDI 2WD 7인 22인치타이어,현대자동차㈜,승용차,다목적형,8.2,,7.3,9.6,5등급
GV80 3.5T-GDI 2WD 5인 22인치타이어,현대자동차㈜,승용차,다목적형,8.4,,7.4,9.9,5등급
GV80 3.5T-GDI AWD 7인 22인치타이어,현대자동차㈜,승용차,다목적형,7.8,,6.9,9.1,5등급
GV80 3.5T-GDI 2WD 5인 20인치타이어,현대자동차㈜,승용차,다목적형,8.6,,7.7,10.1,5등급
GV80 2.5T-GDI AWD 7인 22인치타이어,현대자동차㈜,승용차,다목적형,8.5,,7.6,9.8,5등급
GV80 2.5T-GDI AWD 7인 19인치타이어 (빌트인캠),현대자동차㈜,승용차,다목적형,8.8,,7.9,10,5등급
GV80 2.5T-GDI AWD 7인 19인치타이어,현대자동차㈜,승용차,다목적형,9,,8,10.4,5등급
GV80 2.5T-GDI AWD 5인 22인치타이어,현대자동차㈜,승용차,다목적형,8.6,,7.8,9.8,5등급
GV80 2.5T-GDI 2WD 7인 22인치타이어,현대자동차㈜,승용차,다목적형,9.1,,8.2,10.4,5등급
GV80 2.5T-GDI 2WD 7인 19인치타이어,현대자동차㈜,승용차,다목적형,9.3,,8.4,10.7,5등급
BMW X6 M,BMW코리아㈜,승용차,다목적형,6.8,,6,8.2,5등급
페라리 812 GTS,(주) 에프엠케이,승용차,일반형,5.3,,4.7,6.3,5등급
Mercedes-AMG G 63,메르세데스-벤츠코리아(주),승용차,다목적형,5.9,,5.6,6.4,5등급
X5 M Competition,BMW코리아㈜,승용차,다목적형,6.7,,5.9,7.9,5등급
Mercedes-Benz S 450 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,8.5,,7.4,10.4,5등급
Mercedes-Benz S 450 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,일반형,8.3,,7.2,10.2,5등급
Mercedes-AMG C 63 S Coupe,메르세데스-벤츠코리아(주),승용차,일반형,8,,7,9.6,5등급
BMW M2 CS,BMW코리아㈜,승용차,일반형,8.7,,7.8,10.2,5등급
Mercedes-AMG C 43 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,일반형,8.7,,7.7,10.6,5등급
Mercedes-AMG S 63 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,일반형,7.4,,6.5,8.7,5등급
Mercedes-AMG C 43 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,8.7,,7.7,10.3,5등급
Mercedes-AMG GLC 43 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,8.1,,7.3,9.4,5등급
Mercedes-Benz S 450 4MATIC(4인승),메르세데스-벤츠코리아(주),승용차,일반형,8.5,,7.4,10.4,5등급
Lincoln Corsair 2.0,포드세일즈서비스코리아(유),승용차,다목적형,9.2,,8,11.3,5등급
ODYSSEY,혼다코리아(주),승용차,일반형,9,,7.7,11.2,5등급
Lincoln Corsair 2.0 (19인치),포드세일즈서비스코리아(유),승용차,다목적형,9.2,,8,11.3,5등급
BMW X5 M,BMW코리아㈜,승용차,다목적형,6.7,,5.9,7.9,5등급
Mercedes-Benz E 450 4MATIC Cabriolet,메르세데스-벤츠코리아(주),승용차,일반형,8.9,,7.8,10.8,5등급
Mercedes-AMG CLS 53 4MATIC +,메르세데스-벤츠코리아(주),승용차,일반형,9.2,,8.4,10.5,5등급
Mercedes-Benz GLS 580 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,7.3,,6.7,8.1,5등급
"SM6 2.0 LPLi New (19"" Tire)",르노코리아 주식회사,승용차,일반형,9.2,,8.2,10.7,5등급
Mercedes-Benz GLE 450 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,8.7,,8.2,9.4,5등급
Mercedes-AMG GLC 43 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,8.3,,7.5,9.6,5등급
Mercedes-Benz GLE 450 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,8.7,,8.2,9.4,5등급
Mercedes-AMG GLC 63 S 4MATIC + Coupe,메르세데스-벤츠코리아(주),승용차,다목적형,7,,6.1,8.4,5등급
