모델명,제조(수입사),차종,유형,복합_연비,1회충전주행거리,도심_연비,고속도로_연비,등급
렉스턴스포츠 2.2 디젤 2WD 6AT SCR Step2(20인치),케이지모빌리티 주식회사,화물차,화물,10.4,,9.4,11.8,4등급
렉스턴스포츠 2.2 디젤 2WD 6AT SCR Step2(17인치),케이지모빌리티 주식회사,화물차,화물,10.6,,9.6,12.1,4등급
렉스턴스포츠 2.2 디젤 4WD 6AT SCR Step2(20인치),케이지모빌리티 주식회사,화물차,화물,10.4,,9.7,11.3,4등급
렉스턴스포츠 2.2 디젤 4WD 6AT SCR Step2(17인치),케이지모빌리티 주식회사,화물차,화물,10.6,,9.8,11.6,4등급
GV80 3.0디젤 AWD 7인 19인치(22),현대자동차㈜,승용차,다목적형,10.8,,9.5,12.8,4등급
GV80 3.0디젤 AWD 7인 22인치(22),현대자동차㈜,승용차,다목적형,10.3,,9.2,12,4등급
GV80 3.0디젤 AWD 5인 (20인치/22인치)(22),현대자동차㈜,승용차,다목적형,10.5,,9.4,12.2,4등급
GV80 3.0디젤 2WD 7인(22),현대자동차㈜,승용차,다목적형,11.1,,9.9,12.9,4등급
GV80 3.0디젤 2WD 5인 (20인치/22인치)(22),현대자동차㈜,승용차,다목적형,11.5,,10.2,13.6,4등급
GV80 3.0디젤 AWD 5인 19인치(22),현대자동차㈜,승용차,다목적형,10.8,,9.5,12.8,4등급
GV80 3.0디젤 AWD 6인 19인치(22),현대자동차㈜,승용차,다목적형,10.8,,9.5,12.8,4등급
GV80 3.0디젤 AWD 7인 20인치(22),현대자동차㈜,승용차,다목적형,10.5,,9.4,12.2,4등급
GV80 3.0디젤 AWD 6인 22인치(22),현대자동차㈜,승용차,다목적형,10.3,,9.2,12,4등급
GV80 3.0디젤 AWD 6인 20인치(22),현대자동차㈜,승용차,다목적형,10.5,,9.4,12.2,4등급
GV80 3.0디젤 2WD 6인(22),현대자동차㈜,승용차,다목적형,11.1,,9.9,12.9,4등급
봉고 1톤 초장축 슈퍼캡 MT(22),기아 주식회사,화물차,일반형,9.5,,9.3,9.8,4등급
Mercedes-Benz GLS400 d 4MATIC (MY22),메르세데스-벤츠코리아(주),승용차,다목적형,9.8,,9,11,4등급
봉고 1톤 초장축 표준캡 MT(22),기아 주식회사,화물차,일반형,9.5,,9.3,9.8,4등급
Tiguan Allspace,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.1,,9,11.9,4등급
Polestar 2 Long Range Dual Motor,폴스타오토모티브코리아 유한회사,승용차,일반형,3.8,334,4,3.6,4등급
짚 컴패스 2.4 AWD,스텔란티스코리아 주식회사,승용차,다목적형,9.6,,8.4,11.7,4등급
더 뉴 레인지로버 D350 LWB (7인승),(주)재규어랜드로버코리아,승용차,다목적형,10.1,,8.8,12.3,4등급
Q8 50 TDI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.1,,9.1,11.8,4등급
더 뉴 레인지로버 D350 SWB (5인승),(주)재규어랜드로버코리아,승용차,다목적형,10.1,,8.8,12.3,4등급
더 뉴 레인지로버 D350 LWB (5인승),(주)재규어랜드로버코리아,승용차,다목적형,10.1,,8.8,12.3,4등급
MASADA 2밴,주식회사 이브이케이엠씨,화물차,밴형,3.8,152,4.5,3.2,4등급
BMW iX M60,BMW코리아㈜,승용차,다목적형,3.4,421,3.3,3.5,4등급
MASADA 4밴,주식회사 이브이케이엠씨,화물차,밴형,3.8,152,4.5,3.2,4등급
더 뉴 레인지로버 D350 LWB (7인승),(주)재규어랜드로버코리아,승용차,다목적형,10.1,,8.8,12.3,4등급
MINI John Cooper Works Clubman ALL4(MY23~),BMW코리아㈜,승용차,일반형,9.7,,8.6,11.6,4등급
아반떼 1.6 LPI 15인치 타이어(22MY),현대자동차㈜,승용차,일반형,10.6,,9.4,12.5,4등급
브라보,비바모빌리티 주식회사,화물차,일반형,4.1,151,4.7,3.6,4등급
팰리세이드(PE) 2.2 디젤 AWD 7인 20인치,현대자동차㈜,승용차,다목적형,11.4,,10.4,12.8,4등급
팰리세이드(PE) 2.2 디젤 AWD 8인 20인치,현대자동차㈜,승용차,다목적형,11.4,,10.4,12.8,4등급
A6 45 TFSI,폭스바겐그룹코리아 주식회사,승용차,일반형,11,,9.7,13.1,4등급
A6 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,10.7,,9.5,12.8,4등급
짚 레니게이드 1.3 FWD,스텔란티스코리아 주식회사,승용차,다목적형,10.4,,9.2,12.3,4등급
S5 Coupe TFSI,폭스바겐그룹코리아 주식회사,승용차,일반형,9.9,,8.6,12.1,4등급
S4 TFSI,폭스바겐그룹코리아 주식회사,승용차,일반형,9.6,,8.4,11.6,4등급
Mercedes-Benz EQA250,메르세데스-벤츠코리아(주),승용차,다목적형,4,301,4.2,3.8,4등급
Master VAN Ph2 L2H2,르노코리아 주식회사,화물차,밴형,10.5,,10.7,10.3,4등급
Master VAN Ph2 L1H1 ,르노코리아 주식회사,화물차,밴형,11,,10.9,11.1,4등급
A5 Coupe 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,10.9,,9.6,13,4등급
A5 Sportback 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,11.2,,9.7,13.7,4등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌)_SP,현대자동차㈜,승용차,기타형,9.4,,8.4,10.8,4등급
A4 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,10.6,,9.5,12.3,4등급
G70 슈팅브레이크 2.0T-GDI AWD 19인치(올시즌),현대자동차㈜,승용차,기타형,9.4,,8.4,10.8,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌),현대자동차㈜,승용차,기타형,10.2,,9.1,11.9,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머),현대자동차㈜,승용차,기타형,9.9,,8.9,11.4,4등급
G70 슈팅브레이크 2.0T-GDI AWD 18인치타이어,현대자동차㈜,승용차,기타형,9.7,,8.7,11.3,4등급
G70 슈팅브레이크 2.0T-GDI AWD 18인치(빌트인캠),현대자동차㈜,승용차,기타형,9.6,,8.6,11,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 18인치타이어,현대자동차㈜,승용차,기타형,10.4,,9.2,12.2,4등급
토레스 가솔린 1.5 AT 4WD 저공해3종 18인치 타이어,케이지모빌리티 주식회사,승용차,기타형,10.2,,9.3,11.4,4등급
토레스 가솔린 1.5 AT 2WD 저공해3종 18인치 타이어,케이지모빌리티 주식회사,승용차,기타형,11.1,,10.2,12.4,4등급
토레스 가솔린 1.5 AT 2WD 저공해3종 17인치 타이어,케이지모빌리티 주식회사,승용차,기타형,11.2,,10.2,12.5,4등급
G70 슈팅브레이크2.0T-GDI 2WD 18인치(빌트인캠),현대자동차㈜,승용차,기타형,10.2,,9,12.1,4등급
A5 Cabriolet 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,10.7,,9.5,12.5,4등급
Mercedes-Benz EQS450 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,3.5,454,3.5,3.6,4등급
Q4 Sportback e-tron 40,폭스바겐그룹코리아 주식회사,승용차,다목적형,4.1,357,4.4,3.9,4등급
Mercedes-Benz EQB300 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,4.1,313,4.4,3.8,4등급
토요타 GR86,한국토요타자동차㈜,승용차,일반형,9.5,,8.2,11.9,4등급
Mercedes-Benz EQS350,메르세데스-벤츠코리아(주),승용차,일반형,4,440,4.2,3.9,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(올시즌)_SP,현대자동차㈜,승용차,기타형,10.2,,9.1,11.9,4등급
G70 슈팅브레이크 2.0T-GDI 2WD 19인치(썸머)_SP,현대자동차㈜,승용차,기타형,9.9,,8.9,11.4,4등급
Mercedes-Benz EQB300 4MATIC (5 Seater),메르세데스-벤츠코리아(주),승용차,다목적형,4.1,313,4.4,3.8,4등급
Explorer 3.3 FHEV,포드세일즈서비스코리아(유),승용차,다목적형,10.4,,10.1,10.8,4등급
셀토스(PE) 2.0 가솔린 4WD 18 인치,기아 주식회사,승용차,다목적형,11.3,,10.4,12.6,4등급
BMW 320i,BMW코리아㈜,승용차,일반형,11.2,,9.9,13.5,4등급
Q5 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.5,,9.5,12,4등급
셀토스(PE) 1.6T-GDI 4WD 18인치,기아 주식회사,승용차,다목적형,10.8,,9.8,12.2,4등급
EV6 GT,기아 주식회사,승용차,다목적형,3.9,342,4.2,3.6,4등급
Q7 45 TDI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.6,,9.6,12.2,4등급
Q7 45 TDI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.6,,9.6,12.2,4등급
CHEVROLET EQUINOX FWD (MY23),한국지엠주식회사,승용차,다목적형,11.4,,10.6,12.7,4등급
Mercedes-Benz E450 4MATIC Cabriolet,메르세데스-벤츠코리아(주),승용차,일반형,9.7,,8.7,11.2,4등급
MASADA 픽업,주식회사 이브이케이엠씨,화물차,일반형,3.5,134,4.1,2.9,4등급
CHEVROLET EQUINOX AWD (MY23),한국지엠주식회사,승용차,다목적형,11,,10.1,12.2,4등급
BMW X7 xDrive40d,BMW코리아㈜,승용차,다목적형,10,,9.2,11.3,4등급
"SM6 2.0 LPLi New (17"" Tire)",르노코리아 주식회사,승용차,일반형,9.5,,8.5,11,4등급
Mercedes-Benz S400 d 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,11.4,,9.9,14,4등급
BMW M340i,BMW코리아㈜,승용차,일반형,10.4,,9.1,12.6,4등급
BMW 320i Touring,BMW코리아㈜,승용차,일반형,10.8,,9.5,13,4등급
Mercedes-Benz E450 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,9.7,,8.7,11.4,4등급
Q5 Sportback 45 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.2,,9.1,12,4등급
Mercedes-Benz CLS450 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,9.9,,8.9,11.4,4등급
BMW M340i xDrive Touring,BMW코리아㈜,승용차,일반형,9.6,,8.3,11.9,4등급
Mercedes-Benz E450 4MATIC Coupe,메르세데스-벤츠코리아(주),승용차,일반형,9.7,,8.6,11.5,4등급
Golf GTI,폭스바겐그룹코리아 주식회사,승용차,일반형,11.5,,10.1,13.9,4등급
BMW 320i,BMW코리아㈜,승용차,일반형,11.2,,9.9,13.5,4등급
BMW X7 xDrive40d,BMW코리아㈜,승용차,다목적형,10,,9.2,11.3,4등급
마세라티 그레칼레 모데나,스텔란티스코리아 주식회사,승용차,다목적형,9.8,,9,10.9,4등급
마세라티 그레칼레 GT,스텔란티스코리아 주식회사,승용차,다목적형,9.9,,9,11.2,4등급
BMW 740i,BMW코리아㈜,승용차,일반형,10.7,,9.7,12.2,4등급
BMW i7 xDrive60,BMW코리아㈜,승용차,일반형,3.7,438,3.6,3.8,4등급
더 뉴 레인지로버 스포츠 D300,(주)재규어랜드로버코리아,승용차,다목적형,10.4,,9.1,12.6,4등급
Mercedes-Benz C300 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,11.2,,9.9,13.4,4등급
Mercedes-Benz S450 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,9.6,,8.4,11.6,4등급
Q7 50 TDI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,11,,9.7,13,4등급
그랜저(GN7) 2.5 GDI 20인치,현대자동차㈜,승용차,일반형,11.2,,9.6,13.8,4등급
그랜저(GN7) 2.5 GDI 19인치,현대자동차㈜,승용차,일반형,11.4,,9.8,14.2,4등급
그랜저(GN7) 3.5 GDI AWD 18인치,현대자동차㈜,승용차,일반형,9.5,,8.2,11.7,4등급
그랜저(GN7) 3.5 GDI 2WD 20인치,현대자동차㈜,승용차,일반형,9.7,,8.3,12.2,4등급
그랜저(GN7) 3.5 GDI 2WD 19인치,현대자동차㈜,승용차,일반형,10.1,,8.5,13,4등급
그랜저(GN7) 3.5 GDI 2WD 18인치,현대자동차㈜,승용차,일반형,10.4,,8.7,13.4,4등급
Mercedes-Benz EQE350 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,4,433,4.1,3.9,4등급
Mercedes-Benz EQS580 4MATIC SUV,메르세데스-벤츠코리아(주),승용차,다목적형,3.5,447,3.6,3.4,4등급
MASADA 3세대 2밴,주식회사 이브이케이엠씨,화물차,밴형,3.8,152,4.5,3.2,4등급
Mercedes-Benz EQS450 +,메르세데스-벤츠코리아(주),승용차,일반형,3.8,472,3.8,3.7,4등급
Mercedes-Benz EQS450 4MATIC SUV,메르세데스-벤츠코리아(주),승용차,다목적형,3.6,459,3.7,3.5,4등급
MASADA 3세대 4밴,주식회사 이브이케이엠씨,화물차,밴형,3.8,152,4.5,3.2,4등급
Mercedes-Benz EQS580 4MATIC SUV(5seats),메르세데스-벤츠코리아(주),승용차,다목적형,3.5,447,3.6,3.4,4등급
Mercedes-Benz EQS450 4MATIC SUV(5seats),메르세데스-벤츠코리아(주),승용차,다목적형,3.6,459,3.7,3.5,4등급
디펜더 130 D300,(주)재규어랜드로버코리아,승용차,다목적형,9.9,,9.1,11.1,4등급
코나(SX2) 1.6T-GDI 4WD 18/19인치,현대자동차㈜,승용차,다목적형,11.2,,10,13.1,4등급
BMW iX xDrive50,BMW코리아㈜,승용차,다목적형,3.7,464,3.7,3.7,4등급
GR Supra,한국토요타자동차㈜,승용차,일반형,10.2,,9.1,12,4등급
Ranger Wildtrak,포드세일즈서비스코리아(유),화물차,화물,10.1,,9.1,11.7,4등급
BMW Z4 sDrive20i,BMW코리아㈜,승용차,일반형,10.7,,9.8,12.1,4등급
BMW Z4 M40i,BMW코리아㈜,승용차,일반형,10.2,,9.2,11.9,4등급
Q3 40 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,9.9,,8.8,11.7,4등급
BMW iX M60,BMW코리아㈜,승용차,다목적형,3.4,421,3.3,3.5,4등급
BMW iX xDrive40,BMW코리아㈜,승용차,다목적형,3.9,313,3.9,3.9,4등급
캐딜락 XT4,지엠아시아퍼시픽지역본부 주식회사,승용차,다목적형,10.3,,9.3,11.8,4등급
Q3 Sportback 40 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,다목적형,10.3,,9.3,11.9,4등급
Mercedes-Benz EQE500 4MATIC SUV,메르세데스-벤츠코리아(주),승용차,다목적형,3.8,401,3.9,3.6,4등급
렉서스 RX500h,한국토요타자동차㈜,승용차,다목적형,10,,9.4,10.7,4등급
아반떼(PE) 1.6LPI 15인치 타이어,현대자동차㈜,승용차,일반형,10.5,,9.3,12.4,4등급
아반떼(PE) 1.6LPI 16인치 타이어,현대자동차㈜,승용차,일반형,10.3,,9.1,12.1,4등급
아반떼(PE) 1.6LPI 17인치 타이어,현대자동차㈜,승용차,일반형,10.2,,9,12,4등급
다니고C2,(주)루트17,화물차,일반형,3.4,142,4.2,2.8,4등급
쏘나타(DN8) 개조 2.5 T-GDI_19인치타이어,현대자동차㈜,승용차,일반형,11.1,,9.4,14.1,4등급
무쏘 칸  2.2 디젤 2WD 6AT SCR Step2,케이지모빌리티 주식회사,화물차,화물,10.3,,9.4,11.6,4등급
무쏘 칸 2.2디젤 4WD 6AT SCR Step2,케이지모빌리티 주식회사,화물차,화물,10.2,,9.6,11,4등급
무쏘 스포츠 2.2 디젤 2WD 6AT SCR Step2,케이지모빌리티 주식회사,화물차,화물,10.4,,9.4,11.8,4등급
무쏘 스포츠 2.2 디젤 4WD 6AT SCR Step2,케이지모빌리티 주식회사,화물차,화물,10.4,,9.7,11.3,4등급
토요타 CROWN Dual Boost Hybrid,한국토요타자동차㈜,승용차,일반형,11,,10,12.5,4등급
G70(IK PE2) 2.5T-GDI AWD 18인치(빌트인캠),현대자동차㈜,승용차,일반형,10.5,,9.4,12.2,4등급
G70(IK PE2) 2.5T-GDI 2WD 18인치,현대자동차㈜,승용차,일반형,11.2,,10,13.1,4등급
G70(IK PE2) 2.5T-GDI 2WD 19인치(썸머),현대자동차㈜,승용차,일반형,10.7,,9.5,12.7,4등급
G70(IK PE2) 2.5T-GDI AWD 19인치(올시즌),현대자동차㈜,승용차,일반형,10.2,,9.1,12.1,4등급
G70(IK PE2) 2.5T-GDI 2WD 18인치(빌트인캠),현대자동차㈜,승용차,일반형,11.1,,9.9,12.9,4등급
G70(IK PE2) 2.5T-GDI AWD 18인치,현대자동차㈜,승용차,일반형,10.6,,9.5,12.3,4등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(올시즌)_SP,현대자동차㈜,승용차,일반형,9.4,,8.3,11,4등급
EV9 2WD 20인치 7인,기아 주식회사,승용차,다목적형,4.1,480,4.6,3.5,4등급
G70(IK PE2) 2.5T-GDI AWD 19인치(썸머),현대자동차㈜,승용차,일반형,10.1,,8.9,12,4등급
G70(IK PE2) 2.5T-GDI 2WD 19인치(올시즌),현대자동차㈜,승용차,일반형,10.9,,9.6,12.8,4등급
EV9 4WD 19인치 7인,기아 주식회사,승용차,다목적형,3.8,445,4.2,3.3,4등급
EV9 4WD 21인치 7인,기아 주식회사,승용차,다목적형,3.9,454,4.3,3.4,4등급
쏘나타(DN8) 개조 2.0LPI_18인치타이어,현대자동차㈜,승용차,일반형,9.4,,8.2,11.5,4등급
쏘나타(DN8) 개조 2.0LPI_17인치타이어,현대자동차㈜,승용차,일반형,9.7,,8.4,12,4등급
쏘나타(DN8) 개조 2.0LPI_16인치타이어,현대자동차㈜,승용차,일반형,9.6,,8.3,11.7,4등급
EV9 4WD 19인치 6인,기아 주식회사,승용차,다목적형,3.8,445,4.2,3.3,4등급
EV9 4WD 21인치 6인,기아 주식회사,승용차,다목적형,3.9,454,4.3,3.4,4등급
EV9 2WD 20인치 6인,기아 주식회사,승용차,다목적형,4.1,480,4.6,3.5,4등급
G70(IK PE2) 2.5T-GDI S/B 2WD 19인치(올시즌),현대자동차㈜,승용차,기타형,10.7,,9.5,12.5,4등급
G70(IK PE2) 2.5T-GDI S/B 2WD 18인치(빌트인캠),현대자동차㈜,승용차,기타형,10.8,,9.6,12.6,4등급
G70(IK PE2) 2.5T-GDI S/B 2WD 18인치,현대자동차㈜,승용차,기타형,10.9,,9.7,12.7,4등급
G70(IK PE2) 3.3T-GDI 2WD 19인치(올시즌),현대자동차㈜,승용차,일반형,9.4,,8.3,11,4등급
G70(IK PE2) 2.5T-GDI S/B AWD 19인치(썸머),현대자동차㈜,승용차,기타형,9.7,,8.6,11.4,4등급
G70(IK PE2) 2.5T-GDI S/B AWD 19인치(올시즌),현대자동차㈜,승용차,기타형,9.9,,8.9,11.5,4등급
G70(IK PE2) 2.5T-GDI S/B AWD 18인치(빌트인캠),현대자동차㈜,승용차,기타형,10,,9,11.6,4등급
G70(IK PE2) 2.5T-GDI S/B AWD 18인치,현대자동차㈜,승용차,기타형,10.1,,9.1,11.7,4등급
G70(IK PE2) 2.5T-GDI S/B 2WD 19인치(썸머),현대자동차㈜,승용차,기타형,10.5,,9.3,12.3,4등급
Mercedes-Benz GLC300 4MATIC,메르세데스-벤츠코리아(주),승용차,다목적형,10.8,,9.7,12.4,4등급
Model X Plaid,테슬라코리아 유한회사,승용차,다목적형,3.8,439,3.9,3.7,4등급
Model S Plaid,테슬라코리아 유한회사,승용차,일반형,4.1,474,4.2,4,4등급
젤라 피이백,(주)에스에스라이트,화물차,승용겸화물형,3.4,280,3.7,3,4등급
BMW X6 xDrive40i M Sport,BMW코리아㈜,승용차,다목적형,9.5,,8.8,10.4,4등급
S7 TDI,폭스바겐그룹코리아 주식회사,승용차,일반형,11.5,,10.2,13.6,4등급
Model X Plaid,테슬라코리아 유한회사,승용차,다목적형,3.8,439,3.9,3.7,4등급
A7 55 TFSI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,9.5,,8.3,11.7,4등급
Mercedes-Benz EQE350 4MATIC SUV,메르세데스-벤츠코리아(주),승용차,다목적형,3.9,404,4,3.7,4등급
아반떼(PE) N 2.0 T-GDI 8DCT 19인치,현대자동차㈜,승용차,일반형,10.4,,8.9,12.9,4등급
스포티지 1.6T-GDI 4WD 7DCT 19인치 (빌트인캠)_24MY,기아 주식회사,승용차,다목적형,10.8,,9.8,12.2,4등급
스포티지 1.6T-GDI 4WD 7DCT 19인치_24MY,기아 주식회사,승용차,다목적형,11.1,,10.1,12.5,4등급
스포티지 1.6T-GDI 4WD 7DCT 18인치 (빌트인캠)_24MY,기아 주식회사,승용차,다목적형,11.1,,10.3,12.1,4등급
스포티지 1.6T-GDI 4WD 7DCT 18인치_24MY,기아 주식회사,승용차,다목적형,11.3,,10.4,12.5,4등급
스포티지 1.6T-GDI 4WD 7DCT 17인치_24MY,기아 주식회사,승용차,다목적형,11.3,,10.4,12.5,4등급
투싼 1.6T-GDI AWD 7DCT 18인치 (빌트인캠)(23),현대자동차㈜,승용차,다목적형,11.3,,10.5,12.4,4등급
Mercedes-Benz GLE 300 d 4MATIC(5seater),메르세데스-벤츠코리아(주),승용차,다목적형,11.4,,10.8,12.2,4등급
팰리세이드(PE) 2.2 디젤 AWD 7인 20인치(24MY),현대자동차㈜,승용차,다목적형,11.4,,10.4,12.8,4등급
팰리세이드(PE) 2.2 디젤 AWD 8인 20인치(24MY),현대자동차㈜,승용차,다목적형,11.4,,10.4,12.8,4등급
"Mercedes-Benz GLE 450 d 4MATIC Coupe	",메르세데스-벤츠코리아(주),승용차,다목적형,10.4,,9.5,11.7,4등급
Mercedes-Benz GLE 300 d 4MATIC ,메르세데스-벤츠코리아(주),승용차,다목적형,11.4,,10.8,12.2,4등급
EV9 GTL 4WD 21인치 6인,기아 주식회사,승용차,다목적형,3.8,443,4.1,3.4,4등급
EV9 GTL 4WD 21인치 7인,기아 주식회사,승용차,다목적형,3.8,443,4.1,3.4,4등급
아반떼(PE) N 2.0 T-GDI 6MT 19인치,현대자동차㈜,승용차,일반형,10.6,,9.4,12.5,4등급
GV70 2.5T-GDI AWD 19인치(24MY),현대자동차㈜,승용차,다목적형,9.7,,8.5,11.5,4등급
GV70 2.5T-GDI AWD 19인치 (스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,9.7,,8.5,11.5,4등급
GV70 2.5T-GDI AWD 18인치(빌트인캠)(24MY),현대자동차㈜,승용차,다목적형,9.7,,8.6,11.4,4등급
GV70 2.5T-GDI AWD 18인치(24MY),현대자동차㈜,승용차,다목적형,9.8,,8.7,11.5,4등급
GV70 2.5T-GDI 2WD 21인치(24MY),현대자동차㈜,승용차,다목적형,9.8,,8.8,11.3,4등급
GV70 2.5T-GDI 2WD 21인치 (스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,9.8,,8.8,11.3,4등급
GV70 2.5T-GDI 2WD 19인치(24MY),현대자동차㈜,승용차,다목적형,10,,8.9,11.6,4등급
GV70 2.5T-GDI 2WD 19인치 (스포츠패키지)(24MY),현대자동차㈜,승용차,다목적형,10,,8.9,11.6,4등급
GV70 2.5T-GDI 2WD 18인치(빌트인캠)(24MY),현대자동차㈜,승용차,다목적형,10.6,,9.4,12.4,4등급
GV70 2.5T-GDI 2WD 18인치(24MY),현대자동차㈜,승용차,다목적형,10.7,,9.6,12.4,4등급
SE-A2밴,주식회사 모빌리티네트웍스,화물차,밴형,3.8,184,4.3,3.4,4등급
싼타페(MX5) 2.5T-GDI 2WD 6/7인 20인치타이어,현대자동차㈜,승용차,다목적형,10,,8.8,12,4등급
싼타페(MX5) 2.5T-GDI AWD 7인 20인치타이어,현대자동차㈜,승용차,다목적형,9.4,,8.2,11.3,4등급
아이오닉5 N,현대자동차㈜,승용차,다목적형,3.7,351,4,3.4,4등급
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치(빌트인캠),현대자동차㈜,승용차,다목적형,10.4,,9.1,12.8,4등급
싼타페(MX5) 2.5T-GDI 2WD 5/6/7인 21인치타이어,현대자동차㈜,승용차,다목적형,10,,8.8,12,4등급
싼타페(MX5) 2.5T-GDI 2WD 5인 20인치타이어,현대자동차㈜,승용차,다목적형,10.4,,9.2,12.5,4등급
싼타페(MX5) 2.5T-GDI 2WD 7인 18인치타이어,현대자동차㈜,승용차,다목적형,10.6,,9.3,12.9,4등급
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치(빌트인캠),현대자동차㈜,승용차,다목적형,10.8,,9.4,13.2,4등급
싼타페(MX5) 2.5T-GDI 2WD 5/6인 18인치타이어,현대자동차㈜,승용차,다목적형,11,,9.6,13.4,4등급
싼타페(MX5) 2.5T-GDI AWD 6/7인 21인치타이어,현대자동차㈜,승용차,다목적형,9.4,,8.2,11.3,4등급
싼타페(MX5) 2.5T-GDI AWD 5인 21인치타이어,현대자동차㈜,승용차,다목적형,9.7,,8.5,11.6,4등급
싼타페(MX5) 2.5T-GDI AWD 5/6/7인 18인치타이어,현대자동차㈜,승용차,다목적형,10.1,,8.8,12.2,4등급
쏘렌토(PE) 2.5T-GDI 4WD 6인 18인치,기아 주식회사,승용차,다목적형,9.8,,8.7,11.7,4등급
쏘렌토(PE) 2.5T-GDI 2WD 6인 18인치,기아 주식회사,승용차,다목적형,10.8,,9.4,13,4등급
쏘렌토(PE) 2.5T-GDI 2WD 7인 18인치,기아 주식회사,승용차,다목적형,10.8,,9.4,13,4등급
쏘렌토(PE) 2.5T-GDI 2WD 6인 18인치(빌트인캠),기아 주식회사,승용차,다목적형,10.6,,9.3,12.8,4등급
쏘렌토(PE) 2.5T-GDI 2WD 7인 18인치(빌트인캠),기아 주식회사,승용차,다목적형,10.6,,9.3,12.8,4등급
쏘렌토(PE) 2.5T-GDI 2WD 5인 20인치,기아 주식회사,승용차,다목적형,10.1,,9,11.8,4등급
쏘렌토(PE) 2.5T-GDI 2WD 6인 20인치,기아 주식회사,승용차,다목적형,10.1,,9,11.8,4등급
쏘렌토(PE) 2.5T-GDI 4WD 5인 18인치,기아 주식회사,승용차,다목적형,9.9,,8.8,11.8,4등급
쏘렌토(PE) 2.5T-GDI 4WD 7인 18인치,기아 주식회사,승용차,다목적형,9.8,,8.7,11.7,4등급
쏘렌토(PE) 2.5T-GDI 2WD 7인 20인치,기아 주식회사,승용차,다목적형,10.1,,9,11.8,4등급
쏘렌토(PE) 2.5T-GDI 2WD 5인 18인치,기아 주식회사,승용차,다목적형,10.8,,9.4,13,4등급
쏘렌토(PE) 2.5T-GDI 2WD 5인 18인치(빌트인캠),기아 주식회사,승용차,다목적형,10.6,,9.3,12.8,4등급
"Mercedes-Benz S 450 4MATIC	",메르세데스-벤츠코리아(주),승용차,일반형,9.6,,8.4,11.6,4등급
싼타페(MX5) 2.5T-GDI AWD 5/6인 20인치타이어,현대자동차㈜,승용차,다목적형,9.7,,8.5,11.6,4등급
A8 L 50 TDI quattro,폭스바겐그룹코리아 주식회사,승용차,일반형,10.8,,9.3,13.5,4등급
BMW 530i xDrive,BMW코리아㈜,승용차,일반형,11.1,,9.9,13,4등급
BMW 740i xDrive,BMW코리아㈜,승용차,일반형,10.3,,9.2,11.9,4등급
BMW i5 M60 xDrive,BMW코리아㈜,승용차,일반형,3.8,361,3.8,3.8,4등급
Mercedes-Benz C 300 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,11.1,,9.7,13.3,4등급
BMW i7 eDrive50,BMW코리아㈜,승용차,일반형,3.8,455,3.7,4,4등급
BMW i5 eDrive40,BMW코리아㈜,승용차,일반형,4.1,384,4.1,4,4등급
Mercedes-Benz EQE 350 4MATIC,메르세데스-벤츠코리아(주),승용차,일반형,4,432,4,4,4등급
"Mercedes-Benz EQS 450 4MATIC	",메르세데스-벤츠코리아(주),승용차,일반형,4,501,4,3.9,4등급
